Player Name,Score,Time,Character
fleur,20,30,Chat
oce,33,30,Mickey
fleur,26,30,Goku
oce,28,30,Mickey
ori,28,60,Mickey
oce,104,60,Goku
clara,24,60,Chat
fleur,16,60,Chat
mi,3,60,Mickey
fleur,12,60,Chat
fleurianeeeee,7,60,Mickey
"orianeeeee",5,60,Goku
mick,10,60,Mickey
fleur,21,60,Mickey
fleur,0,60,Chat
ryan,0,60,Mickey
